d,D,T,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,2B,b,K,r34_min,r5_min,da_max,Da_min,Da_max,Ca_min,ra_max,rc_max,e,Y1,Y2,Y0
80,130,74.0,379.0,560,62.0,3200,4800,3.8,33116/DF,80,74,9,6.0,1.5,0.6,89,114,121,6,1.5,0.6,0.43,1.6,2.3,1.6
80,140,70.5,391.0,490,57.0,3000,4500,4.25,32216/DF,80,66,4,4.5,2.0,0.6,91,122,130,5,2.0,0.6,0.43,1.6,2.3,1.6
80,140,92.0,527.0,750,83.0,3000,4500,5.95,33216/DF,80,92,13,7.5,2.0,0.6,90,119,130,7,2.0,0.6,0.43,1.6,2.3,1.6
80,170,85.0,473.0,530,61.0,2400,4000,8.65,31316/DF,80,78,15,10.0,2.5,1.0,97,134,159,5,2.5,1.0,0.83,0.81,1.2,0.8
80,170,123.0,693.0,1000,112.0,2600,4000,13.0,32316/DF,80,116,15,7.5,2.5,1.0,98,142,159,7,2.5,1.0,0.35,1.9,2.9,1.8
85,130,58.0,293.0,450,51.0,3200,4800,2.8,32017 X/DF,85,58,8,4.5,1.5,0.6,95,117,121,6,1.5,0.6,0.44,1.5,2.3,1.4
85,130,72.0,382.0,620,69.5,3200,4800,3.5,33017/DF,85,72,6,4.5,1.5,0.6,95,118,121,6,1.5,0.6,0.3,2.3,3.4,2.2
85,150,61.0,370.0,440,51.0,3000,4300,4.25,30217/DF,85,56,6,4.5,2.0,0.6,97,132,140,5,2.0,0.6,0.43,1.6,2.3,1.6
85,150,77.0,451.0,570,65.5,2800,4300,5.4,32217/DF,85,72,10,4.5,2.0,0.6,97,130,140,5,2.0,0.6,0.43,1.6,2.3,1.6
85,150,98.0,606.0,850,96.5,2800,4300,7.3,33217/DF,85,98,10,7.5,2.0,0.6,96,128,140,7,2.0,0.6,0.43,1.6,2.3,1.6
85,180,89.0,510.0,570,64.0,2200,3800,9.9,31317/DF,85,82,15,10.0,3.0,1.0,104,143,167,5,3.0,1.0,0.83,0.81,1.2,0.8
90,140,64.0,356.0,540,62.0,3000,4300,3.65,32018 X/DF,90,64,8,6.0,1.5,0.6,100,125,131,6,1.5,0.6,0.43,1.6,2.3,1.6
90,140,78.0,457.0,710,78.0,3000,4500,4.5,33018/DF,90,78,8,6.0,1.5,0.6,101,127,131,7,1.5,0.6,0.27,2.5,3.7,2.5
90,160,65.0,411.0,490,57.0,2800,4000,5.2,30218/DF,90,60,6,4.5,2.0,0.6,104,140,150,5,2.0,0.6,0.43,1.6,2.3,1.6
90,160,85.0,529.0,680,76.5,2600,4000,6.85,32218/DF,90,80,10,4.5,2.0,0.6,103,138,150,5,2.0,0.6,0.43,1.6,2.3,1.6
90,190,93.0,486.0,630,71.0,1900,3400,11.5,31318/DF,90,86,15,10.0,3.0,1.0,110,151,177,5,3.0,1.0,0.83,0.81,1.2,0.8
90,190,135.0,835.0,1220,132.0,2200,3600,17.5,32318/DF,90,128,16,7.5,3.0,1.0,109,157,177,7,3.0,1.0,0.35,1.9,2.9,1.8
95,145,64.0,353.0,540,61.0,2800,4300,3.8,32019 X/DF,95,64,9,6.0,1.5,0.6,106,130,136,6,1.5,0.6,0.44,1.5,2.3,1.4
95,145,78.0,467.0,735,81.5,2800,4300,4.7,33019/DF,95,78,8,4.5,1.5,0.6,105,131,136,7,1.5,0.6,0.28,2.4,3.6,2.5
95,170,91.0,597.0,780,86.5,2600,3800,8.4,32219/DF,95,86,10,6.0,2.5,1.0,109,145,158,5,2.5,1.0,0.43,1.6,2.3,1.6
95,200,99.0,539.0,710,78.0,1800,3400,13.5,31319/DF,95,90,15,10.0,3.0,1.0,114,157,187,5,3.0,1.0,0.83,0.81,1.2,0.8
100,140,50.0,252.0,405,45.0,2800,4300,2.35,32920/DF,100,50,6,3.0,1.5,0.6,110,131,131,5,1.5,0.6,0.33,2.0,3.0,2.0
100,150,64.0,359.0,560,62.0,2600,4000,3.9,32020 X/DF,100,64,10,8.0,1.5,0.6,110,134,141,6,1.5,0.6,0.46,1.5,2.2,1.4
100,180,74.0,521.0,640,72.0,2400,3600,7.5,30220/DF,100,68,8,6.0,2.5,1.0,116,157,168,5,2.5,1.0,0.43,1.6,2.3,1.6
100,180,98.0,668.0,880,96.5,2400,3600,10.0,32220/DF,100,92,8,6.0,2.5,1.0,115,154,168,5,2.5,1.0,0.43,1.6,2.3,1.6
100,215,103.0,739.0,980,106.0,1900,3200,17.0,30320/DF,100,94,14,7.0,3.0,1.0,128,184,202,6,3.0,1.0,0.35,1.9,2.9,1.8
100,215,113.0,685.0,930,102.0,1700,3000,18.5,31320 X/DF,100,102,13,10.0,3.0,1.0,121,168,202,7,3.0,1.0,0.83,0.81,1.2,0.8
