d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager,Kurzzeichen_was_auch_immer,Kurzzeichen_Sprengring,d,d1,D1,D2,D3,D4,b,f,C,r12_min,r0_max,da_min,da_max,Da_max,Db_min,ba_min,Ca_max,ra_max,kr,f0
50,90,20,37.1,23.2,0.98,15000,10000,0.47,6210 N,6210 NR,SP 90,50,62.5,-,81.7,86.79,96.5,2.7,2.46,3.28,1.1,0.6,57.0,-,83.0,98,3.0,5.74,1.0,0.025,14
50,110,27,65.0,38.0,1.6,13000,6700,1.15,6310-ZNR,6310-2ZNR,SP 110,50,68.7,-,95.2,106.81,116.6,2.7,2.46,3.28,2.0,0.6,61.0,68,99.0,118,3.0,5.74,2.0,0.03,13
50,110,27,65.0,38.0,1.6,13000,8500,1.1,6310 N,6310 NR,SP 110,50,68.7,-,95.2,106.81,116.6,2.7,2.46,3.28,2.0,0.6,61.0,-,99.0,118,3.0,5.74,2.0,0.03,13
50,130,31,87.1,52.0,2.2,12000,7500,2.0,6410 N,6410 NR,SP 130,50,75.4,105,-,125.22,139.7,3.1,2.82,4.06,2.1,0.6,64.0,-,116.0,141,3.5,6.88,2.0,0.035,12
55,90,18,29.6,21.2,0.9,16000,10000,0.4,6011 N,6011 NR,SP 90,55,66.3,-,81.5,86.79,96.5,2.7,2.46,2.87,1.1,0.6,61.0,-,84.0,98,3.0,5.33,1.0,0.025,15
55,100,21,46.2,29.0,1.25,14000,7000,0.66,6211-ZNR,6211-2ZNR,SP 100,55,69.0,-,89.4,96.8,106.5,2.7,2.46,3.28,1.5,0.6,64.0,69,91.0,108,3.0,5.74,1.5,0.025,14
55,100,21,46.2,29.0,1.25,14000,9000,0.63,6211 N,6211 NR,SP 100,55,69.0,-,89.4,96.8,106.5,2.7,2.46,3.28,1.5,0.6,64.0,-,91.0,108,3.0,5.74,1.5,0.025,14
55,120,29,74.1,45.0,1.9,12000,6300,1.45,6311-ZNR,6311-2ZNR,SP 120,55,75.3,-,104,115.21,129.7,3.1,2.82,4.06,2.0,0.6,66.0,75,109.0,131,3.5,6.88,2.0,0.03,13
55,120,29,74.1,45.0,1.9,12000,8000,1.4,6311 N,6311 NR,SP 120,55,75.3,-,104,115.21,129.7,3.1,2.82,4.06,2.0,0.6,66.0,-,109.0,131,3.5,6.88,2.0,0.03,13
55,140,33,99.5,62.0,2.6,11000,7000,2.4,6411 N,6411 NR,SP 140,55,81.5,114,-,135.23,149.7,3.1,2.82,4.9,2.1,0.6,69.0,-,126.0,151,3.5,7.72,2.0,0.035,12
