d,D,H,Ea,Eb,C,C0,Pu,Minimallastfaktor_A,Referenzdrehzal,Grenzdrehzahl,Gewicht_kh,Kurzzeichen,d,d1,D1,B,Dw,r12,da_min,Da_max,ra_max,Kurzzeichen_Axial_Zylinderrollenkranz,Kurzzeichen_wellenscheibe,Kurzzeichen_Gehäusescheibe,Kurzzeichen_Universal_Lagerscheibe
190,380,115,212,371,1960.0,9000.0,720.0,6.5,380,750,65.5,89438 M,190,380,195,38.5,38.0,5.0,373,214,5.0,K 89438 M,WS 89438,GS 89438,-
200,250,37,206,243,310.0,1500.0,125.0,0.18,700,1400,4.95,81140 M,200,247,203,11.0,15.0,1.1,243,206,1.1,K 81140 M,WS 81140,GS 81140,-
200,280,62,215,273,720.0,3100.0,255.0,0.77,500,1000,13.5,81240 M,200,277,204,18.0,26.0,2.0,275,210,2.0,K 81240 M,WS 81240,GS 81240,-
200,400,122,224,391,2160.0,10000.0,800.0,8.0,360,700,75.0,89440 M,200,400,205,41.0,40.0,5.0,393,226,5.0,K 89440 M,WS 89440,GS 89440,-
220,270,37,226,263,335.0,1700.0,137.0,0.23,670,1300,5.2,81144 M,220,267,223,11.0,15.0,1.1,263,226,1.1,K 81144 M,WS 81144,GS 81144,-
220,300,63,236,294,750.0,3350.0,275.0,0.9,480,950,15.0,81244 M,220,297,224,18.5,26.0,2.0,296,230,2.0,K 81244 M,WS 81244,GS 81244,-
220,420,122,244,411,2320.0,11200.0,880.0,10.0,340,700,84.5,89444 M,220,420,225,41.0,40.0,6.0,413,246,6.0,K 89444 M,WS 89444,GS 89444,-
240,300,45,248,296,475.0,2450.0,196.0,0.48,560,1100,8.45,81148 M,240,297,243,13.5,18.0,1.5,296,248,1.5,K 81148 M,WS 81148,GS 81148,-
240,340,78,263,333,1100.0,4900.0,390.0,1.92,400,800,22.0,81248 M,240,335,244,23.0,32.0,2.1,335,261,2.1,K 81248 M,WS 81248,GS 81248,-
260,320,45,268,316,490.0,2600.0,200.0,0.54,530,1100,9.1,81152 M,260,317,263,13.5,18.0,1.5,316,268,1.5,K 81152 M,WS 81152,GS 81152,-
260,360,79,281,351,1140.0,5300.0,415.0,2.25,380,750,27.0,81252 M,260,355,264,23.5,32.0,2.1,353,280,2.1,K 81252 M,WS 81252,GS 81252,-
280,350,53,288,346,680.0,3550.0,275.0,1.0,480,950,12.5,81156 M,280,347,283,15.5,22.0,1.5,346,288,1.5,K 81156 M,WS 81156,GS 81156,-
300,380,62,315,373,850.0,4400.0,335.0,1.55,430,850,19.5,81160 M,300,376,304,18.5,25.0,2.0,373,315,2.0,K 81160 M,WS 81160,GS 81160,-
300,420,95,329,412,1530.0,7200.0,540.0,4.1,320,630,43.0,81260 M,300,415,304,28.5,38.0,3.0,413,328,3.0,K 81260 M,WS 81260,GS 81260,-
320,400,63,334,394,880.0,4650.0,345.0,1.73,400,800,20.5,81164 M,320,396,324,19.0,25.0,2.0,394,334,2.0,K 81164 M,WS 81164,GS 81164,-
