Fw,D,C,C_dynamisch,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,Fw,r12_min,Da_max,ra_max,passende_radial_wellendichtringe_mit_einer_Dichtlippe,passende_radial_wellendichtringe_mit_zwei_Dichtlippen,passende_radial_wellendichtringe_mit_einer_zugfederbelasteten_Dichtlippe
65,78,35,58.3,146.0,18.3,6300,7000,0.31, NK 65/35,65,0.6,74.0,0.6,-,-,-
65,85,28,66.0,114.0,14.6,6000,6700,0.36,NKS 65,65,1.1,78.5,1.0,-,-,65x85x8 HMS5 RG
68,82,25,44.0,95.0,11.8,6000,6700,0.24,NK 68/25,68,0.6,78.0,0.6,-,-,-
68,82,35,60.5,146.0,18.3,6000,6700,0.34,NK 68/35,68,0.6,78.0,0.6,-,-,-
68,85,25,60.5,114.0,14.3,6000,6700,0.28, RNA 4912,68,1.0,80.0,1.0,-,-,-
68,85,45,93.5,204.0,25.0,6000,6700,0.49, RNA 6912,68,1.0,80.0,1.0,-,-,68x85x8 CRW1 R
70,85,25,44.6,98.0,12.2,6000,6700,0.26, NK 70/25,70,0.6,81.0,0.6,-,-,70x85x8 HMS5 RG
70,85,35,61.6,150.0,19.0,6000,6700,0.37, NK 70/35,70,0.6,81.0,0.6,-,-,70x85x8 HMS5 RG
70,90,28,68.2,120.0,15.3,5600,6300,0.38, NKS 70,70,1.1,83.5,1.0,-,-,70x90x10 HMS5 RG
72,90,25,61.6,120.0,14.6,5600,6300,0.31,RNA 4913,72,1.0,85.0,1.0,-,-,72x90x10 HMS5 RG
72,90,45,95.2,212.0,26.0,5600,6300,0.58, RNA 6913,72,1.0,85.0,1.0,-,-,72x90x10 HMS5 RG
73,90,25,52.8,106.0,13.2,5600,6300,0.3,NK 73/25,73,1.0,85.0,1.0,-,-,-
73,90,35,73.7,163.0,20.4,5600,6300,0.43,NK 73/35,73,1.0,85.0,1.0,-,-,-
75,92,25,53.9,110.0,13.7,5300,6000,0.32,NK 75/25,75,1.0,87.0,1.0,-,-,73x92x11.1 CRWH1 R
75,92,35,74.8,170.0,21.2,5300,6000,0.45, NK 75/35,75,1.0,87.0,1.0,-,-,73x92x11.1 CRWH1 R
75,95,28,70.4,132.0,16.6,5300,6000,0.4,NKS 75,75,1.1,88.5,1.0,-,-,75x95x10 HMS5 RG
80,95,25,56.1,127.0,15.6,5000,5600,0.3, NK 80/25,80,1.0,90.0,1.0,-,-,80x95x10 HMS5 RG
80,95,35,76.5,190.0,24.0,5000,5600,0.43, NK 80/35,80,1.0,90.0,1.0,-,-,80x95x10 HMS5 RG
80,100,30,84.2,163.0,20.8,5000,5600,0.46, RNA 4914,80,1.0,95.0,1.0,-,-,80x100x10 HMS5 RG
80,100,54,128.0,285.0,36.0,5000,5600,0.86, RNA 6914,80,1.0,95.0,1.0,-,-,80x100x10 HMS5 RG
85,105,25,69.3,132.0,16.6,4800,5300,0.43, NK 85/25,85,1.0,100.0,1.0,-,-,85x105x12 HMS5 RG
85,105,30,84.2,170.0,21.6,4800,5300,0.49,RNA 4915,85,1.0,100.0,1.0,-,-,85x105x12 HMS5 RG
85,105,35,96.8,200.0,26.0,4800,5300,0.6, NK 85/35,85,1.0,100.0,1.0,-,-,85x105x12 HMS5 RG
85,105,54,130.0,290.0,37.5,4800,5300,0.94,RNA 6915,85,1.0,100.0,1.0,-,-,85x105x12 HMS5 RG
90,110,25,72.1,140.0,18.0,4500,5000,0.45, NK 90/25,90,1.0,105.0,1.0,-,-,90x110x10 HMS5 RG
90,110,30,88.0,183.0,23.2,4500,5000,0.52, RNA 4916,90,1.0,105.0,1.0,-,-,90x110x10 HMS5 RG
90,110,35,101.0,216.0,28.0,4500,5000,0.63, NK 90/35,90,1.0,105.0,1.0,-,-,90x110x10 HMS5 RG
90,110,54,134.0,315.0,40.0,4500,5000,0.99, RNA 6916,90,1.0,105.0,1.0,-,-,90x110x10 HMS5 RG
95,115,26,73.7,146.0,18.6,4300,4800,0.49,NK 95/26,95,1.0,110.0,1.0,-,-,95x115x12 HMS5 RG
95,115,36,105.0,232.0,30.0,4300,4800,0.68,NK 95/36,95,1.0,110.0,1.0,-,-,95x115x12 HMS5 RG
100,120,26,76.5,156.0,19.6,4000,4500,0.52, NK 100/26,100,1.0,115.0,1.0,-,-,100x120x10 HMS5 RG
100,120,35,108.0,250.0,31.0,4000,4500,0.66,RNA 4917,100,1.1,113.5,1.0,-,-,100x120x10 HMS5 RG
100,120,36,108.0,250.0,31.0,4000,4500,0.72, NK 100/36,100,1.0,115.0,1.0,-,-,100x120x10 HMS5 RG
100,120,63,165.0,425.0,53.0,4000,4500,1.2, RNA 6917,100,1.1,113.5,1.0,-,-,100x120x10 HMS5 RG
105,125,26,78.1,166.0,20.4,3800,4300,0.54,NK 105/26,105,1.0,120.0,1.0,-,-,105x125x13 HMS4 R
105,125,35,112.0,265.0,32.5,3800,4300,0.75,RNA 4918,105,1.1,118.5,1.0,-,-,105x125x13 HMS4 R
105,125,36,112.0,265.0,32.5,3800,4300,0.71,NK 105/36,105,1.0,120.0,1.0,-,-,105x125x13 HMS4 R
105,125,63,172.0,450.0,55.0,3800,4300,1.35,RNA 6918,105,1.1,118.5,1.0,-,-,105x125x13 HMS4 R
110,130,30,96.8,220.0,27.0,3600,4000,0.65, NK 110/30,110,1.1,123.5,1.0,-,-,110x130x12 HMS5 RG
110,130,35,114.0,270.0,33.5,3600,4000,0.72,RNA 4919,110,1.1,123.5,1.0,-,-,110x130x12 HMS5 RG
110,130,40,123.0,305.0,37.5,3600,4000,0.83, NK 110/40,110,1.1,123.5,1.0,-,-,110x130x12 HMS5 RG
110,130,63,172.0,465.0,56.0,3600,4000,1.45, RNA 6919,110,1.1,123.5,1.0,-,-,110x130x12 HMS5 RG
115,140,40,125.0,280.0,34.0,3400,4000,1.15,RNA 4920,115,1.1,133.5,1.0,-,-,115x140x12 HMS5 RG
120,140,30,93.5,232.0,27.0,3400,3800,0.66, RNA 4822,120,1.0,135.0,1.0,-,-,120x140x12 HMS5 RG
125,150,40,130.0,300.0,35.5,3200,3600,1.25,RNA 4922,125,1.1,143.5,1.0,-,-,125x150x12 HMS5 RG
130,150,30,99.0,255.0,29.0,3200,3600,0.73, RNA 4824,130,1.0,145.0,1.0,-,-,130x150x10 CRSA1 R
135,165,45,176.0,405.0,49.0,3000,3400,1.85, RNA 4924,135,1.1,158.5,1.0,-,-,135x165x14 HMSA7 R
145,165,35,119.0,325.0,36.5,2800,3200,0.99,RNA 4826,145,1.1,158.5,1.0,-,-,-
150,180,50,198.0,480.0,57.0,2600,3000,2.2,RNA 4926,150,1.5,172.0,1.5,-,-,150x180x12 HMS5 RG
155,175,35,121.0,345.0,37.5,2600,3000,0.97, RNA 4828,155,1.1,168.5,1.0,-,-,-
160,190,50,205.0,510.0,60.0,2400,2800,2.35,RNA 4928,160,1.5,182.0,1.5,-,-,160x190x15 HMS5 RG
165,190,40,147.0,415.0,46.5,2400,2800,1.6,RNA 4830,165,1.1,183.5,1.0,-,-,165x190x15 HMS5 RG
175,200,40,157.0,450.0,49.0,2200,2600,1.7, RNA 4832,175,1.1,193.5,1.0,-,-,175x200x15 HMS5 RG
185,215,45,179.0,520.0,56.0,2200,2400,2.55,RNA 4834,185,1.1,208.5,1.0,-,-,185x215x15 HMS42 R
195,225,45,190.0,570.0,60.0,2000,2400,2.7,RNA 4836,195,1.1,218.5,1.0,-,-,-
210,240,50,220.0,710.0,73.5,1900,2200,3.2, RNA 4838,210,1.5,232.0,1.5,-,-,210x240x15 HMS5 RG
220,250,50,224.0,735.0,75.0,1800,2000,3.35,RNA 4840,220,1.5,242.0,1.5,-,-,220x250x15 HMS5 RG
240,270,50,238.0,815.0,81.5,1700,1900,3.6, RNA 4844,240,1.5,262.0,1.5,-,-,240x270x15 HMS5 RG
265,300,60,347.0,1120.0,112.0,1500,1700,5.4,RNA 4848,265,2.0,291.0,2.0,-,-,Auf Anfrage erhältlich.
285,320,60,358.0,1200.0,118.0,1400,1500,5.8,RNA 4852,285,2.0,311.0,2.0,-,-,285x320x16 HDS2 R
305,350,69,429.0,1320.0,129.0,1300,1400,9.3,RNA 4856,305,2.0,341.0,2.0,-,-,Auf Anfrage erhältlich.
330,380,80,594.0,1800.0,173.0,1100,1300,12.5,RNA 4860,330,2.1,369.0,2.0,-,-,Auf Anfrage erhältlich.
