d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_g,Kurzzeichen,d,d1,d2,D1,D2,r12_min,da_min,da_max,Da_max,ra_max,kr,f0
9.0,17,5.0,0.761,0.335,0.014,85000,43000,4.2,W 628/9-2Z,9.0,-,10.7,-,15.2,0.2,10.3,10.6,15.4,0.2,0.02,7.7
9.0,20,6.0,1.95,0.93,0.045,80000,40000,7.65, W 619/9-2Z,9.0,11.6,-,-,17.5,0.3,11.0,11.1,18.0,0.3,0.025,12.0
9.0,20,6.0,1.95,0.93,0.045,80000,50000,7.0,W 619/9,9.0,11.6,-,-,17.5,0.3,11.0,-,18.0,0.3,0.025,12.0
9.0,24,7.0,2.03,0.815,0.036,-,20000,14.0, W 609-2RS1,9.0,-,12.1,-,20.5,0.3,11.0,12,22.0,0.3,0.03,7.5
9.0,24,7.0,2.03,0.815,0.036,70000,36000,14.0,W 609-2Z,9.0,-,12.1,-,20.5,0.3,11.0,12,22.0,0.3,0.03,7.5
9.0,24,7.0,2.03,0.815,0.036,70000,43000,13.0,W 609,9.0,-,12.1,-,20.5,0.3,11.0,-,22.0,0.3,0.03,7.5
9.0,26,8.0,3.97,1.96,0.083,-,19000,19.0,W 629-2RS1,9.0,-,13.9,-,22.4,0.6,13.0,13.8,22.6,0.6,0.03,12.0
9.0,26,8.0,3.97,1.96,0.083,67000,32000,19.0,W 629-2Z,9.0,-,13.9,-,22.4,0.6,13.0,13.8,22.6,0.6,0.03,12.0
10.0,19,5.0,1.48,0.83,0.036,-,22000,5.2, W 61800-2RS1,10.0,-,11.8,-,17.2,0.3,11.5,11.5,17.5,0.3,0.02,15.0
10.0,19,5.0,1.48,0.83,0.036,80000,38000,5.1, W 61800-2Z,10.0,-,11.8,-,17.2,0.3,11.5,11.5,17.5,0.3,0.02,15.0
10.0,19,5.0,1.48,0.83,0.036,80000,48000,4.8,W 61800,10.0,-,11.8,-,17.2,0.3,11.5,-,17.5,0.3,0.02,15.0
10.0,19,7.0,1.48,0.83,0.036,80000,38000,7.1, W 63800-2Z,10.0,-,11.8,-,17.2,0.3,11.5,11.5,17.5,0.3,0.02,15.0
10.0,22,6.0,2.34,1.25,0.054,-,20000,9.3, W 61900-2RS1,10.0,-,13.2,-,19.4,0.3,12.0,13,20.0,0.3,0.025,14.0
10.0,22,6.0,2.34,1.25,0.054,70000,36000,9.4, W 61900-2Z,10.0,-,13.2,-,19.4,0.3,12.0,13,20.0,0.3,0.025,14.0
10.0,22,6.0,2.34,1.25,0.054,70000,45000,8.7,W 61900,10.0,-,13.2,-,19.4,0.3,12.0,-,20.0,0.3,0.025,14.0
10.0,26,8.0,3.97,1.96,0.083,-,19000,18.5, W 6000-2RS1,10.0,-,13.9,-,22.4,0.3,12.0,13.5,24.0,0.3,0.03,12.0
10.0,26,8.0,3.97,1.96,0.083,67000,32000,18.5, W 6000-2Z,10.0,-,13.9,-,22.4,0.3,12.0,13.5,24.0,0.3,0.03,12.0
10.0,26,8.0,3.97,1.96,0.083,67000,40000,17.0, W 6000,10.0,-,13.9,-,22.4,0.3,12.0,-,24.0,0.3,0.03,12.0
10.0,30,9.0,4.36,2.32,0.1,-,16000,30.0, W 6200-2RS1,10.0,-,15.3,-,25.3,0.6,14.0,15,26.0,0.6,0.03,13.0
10.0,30,9.0,4.36,2.32,0.1,60000,30000,30.5, W 6200-2Z,10.0,-,15.3,-,25.3,0.6,14.0,15,26.0,0.6,0.03,13.0
10.0,30,9.0,4.36,2.32,0.1,60000,36000,28.5,W 6200,10.0,-,15.3,-,25.3,0.6,14.0,-,26.0,0.6,0.03,13.0
10.0,35,11.0,7.02,3.4,0.146,-,15000,52.5, W 6300-2RS1,10.0,17.7,-,-,29.3,0.6,14.0,17.5,31.0,0.6,0.035,11.0
10.0,35,11.0,7.02,3.4,0.146,53000,26000,53.0,W 6300-2Z,10.0,17.7,-,-,29.3,0.6,14.0,17.5,31.0,0.6,0.035,11.0
10.0,35,11.0,7.02,3.4,0.146,53000,34000,49.5,W 6300,10.0,17.7,-,-,29.3,0.6,14.0,-,31.0,0.6,0.035,11.0
12.0,21,5.0,1.51,0.9,0.039,-,20000,6.0, W 61801-2RS1,12.0,-,13.8,-,19.2,0.3,13.5,13.5,19.5,0.3,0.02,13.0
12.0,21,5.0,1.51,0.9,0.039,70000,36000,5.7,W 61801-2Z,12.0,-,13.8,-,19.2,0.3,13.5,13.5,19.5,0.3,0.02,13.0
12.0,24,6.0,2.51,1.46,0.062,-,19000,10.5, W 61901-2RS1,12.0,-,15.3,-,21.4,0.3,14.0,15,22.0,0.3,0.025,15.0
12.0,24,6.0,2.51,1.46,0.062,67000,32000,11.0, W 61901-2Z,12.0,-,15.3,-,21.4,0.3,14.0,15,22.0,0.3,0.025,15.0
12.0,24,6.0,2.51,1.46,0.062,67000,40000,9.8,W 61901,12.0,-,15.3,-,21.4,0.3,14.0,-,22.0,0.3,0.025,15.0
12.0,28,8.0,4.42,2.36,0.102,-,16000,20.0, W 6001-2RS1,12.0,-,16,-,25.2,0.3,14.0,15.5,26.0,0.3,0.03,13.0
12.0,28,8.0,4.42,2.36,0.102,60000,30000,20.0, W 6001-2Z,12.0,-,16,-,25.2,0.3,14.0,15.5,26.0,0.3,0.03,13.0
12.0,28,8.0,4.42,2.36,0.102,60000,36000,18.0, W 6001,12.0,-,16,-,25.2,0.3,14.0,-,26.0,0.3,0.03,13.0
12.0,32,10.0,5.72,3.0,0.127,-,15000,36.0, W 6201-2RS1,12.0,18.5,-,-,28,0.6,16.0,18,28.5,0.6,0.03,12.0
12.0,32,10.0,5.72,3.0,0.127,53000,28000,36.0, W 6201-2Z,12.0,18.5,-,-,28,0.6,16.0,18,28.5,0.6,0.03,12.0
12.0,32,10.0,5.72,3.0,0.127,53000,34000,33.5,W 6201,12.0,18.5,-,-,28,0.6,16.0,-,28.5,0.6,0.03,12.0
12.0,37,12.0,8.32,4.15,0.176,-,14000,58.5, W 6301-2RS1,12.0,19.3,-,-,32,1.0,17.0,19,32.5,1.0,0.035,11.0
12.0,37,12.0,8.32,4.15,0.176,48000,24000,59.5,W 6301-2Z,12.0,19.3,-,-,32,1.0,17.0,19,32.5,1.0,0.035,11.0
12.0,37,12.0,8.32,4.15,0.176,48000,30000,55.5,W 6301,12.0,19.3,-,-,32,1.0,17.0,-,32.5,1.0,0.035,11.0
15.0,24,5.0,1.65,1.08,0.048,-,17000,7.1,W 61802-2RS1,15.0,-,16.8,-,22.2,0.3,16.5,16.5,22.5,0.3,0.02,14.0
15.0,24,5.0,1.65,1.08,0.048,60000,30000,6.7,W 61802-2Z,15.0,-,16.8,-,22.2,0.3,16.5,16.5,22.5,0.3,0.02,14.0
15.0,28,7.0,3.71,2.24,0.095,-,16000,15.5, W 61902-2RS1,15.0,18.8,-,-,25.3,0.3,17.0,18.5,26.0,0.3,0.025,14.0
15.0,28,7.0,3.71,2.24,0.095,56000,28000,16.0, W 61902-2Z,15.0,18.8,-,-,25.3,0.3,17.0,18.5,26.0,0.3,0.025,14.0
15.0,28,7.0,3.71,2.24,0.095,56000,34000,14.5,W 61902,15.0,18.8,-,-,25.3,0.3,17.0,-,26.0,0.3,0.025,14.0
15.0,32,9.0,4.88,2.8,0.12,-,14000,28.5, W 6002-2RS1,15.0,-,18.6,-,29.1,0.3,17.0,18.5,30.0,0.3,0.03,14.0
15.0,32,9.0,4.88,2.8,0.12,50000,26000,29.0, W 6002-2Z,15.0,-,18.6,-,29.1,0.3,17.0,18.5,30.0,0.3,0.03,14.0
15.0,32,9.0,4.88,2.8,0.12,50000,32000,26.5,W 6002,15.0,-,18.6,-,29.1,0.3,17.0,-,30.0,0.3,0.03,14.0
15.0,35,11.0,6.37,3.6,0.156,-,13000,44.0, W 6202-2RS1,15.0,21.7,-,-,31.4,0.6,19.0,21.5,32.0,0.6,0.03,13.0
15.0,35,11.0,6.37,3.6,0.156,48000,24000,44.0, W 6202-2Z,15.0,21.7,-,-,31.4,0.6,19.0,21.5,32.0,0.6,0.03,13.0
15.0,35,11.0,6.37,3.6,0.156,48000,30000,41.5,W 6202,15.0,21.7,-,-,31.4,0.6,19.0,-,32.0,0.6,0.03,13.0
15.0,42,13.0,9.95,5.4,0.232,-,11000,81.0, W 6302-2RS1,15.0,24.5,-,-,36.8,1.0,20.0,24,37.5,1.0,0.035,12.0
15.0,42,13.0,9.95,5.4,0.232,40000,20000,82.0,W 6302-2Z,15.0,24.5,-,-,36.8,1.0,20.0,24,37.5,1.0,0.035,12.0
15.0,42,13.0,9.95,5.4,0.232,40000,26000,77.0,W 6302,15.0,24.5,-,-,36.8,1.0,20.0,-,37.5,1.0,0.035,12.0
17.0,26,5.0,1.78,1.27,0.054,-,16000,8.0,W 61803-2RS1,17.0,-,18.8,-,24.2,0.3,18.5,18.5,24.5,0.3,0.02,14.0
17.0,26,5.0,1.78,1.27,0.054,56000,28000,7.6, W 61803-2Z,17.0,-,18.8,-,24.2,0.3,18.5,18.5,24.5,0.3,0.02,14.0
17.0,30,7.0,3.97,2.55,0.108,-,14000,16.5, W 61903-2RS1,17.0,21,-,-,27.8,0.3,19.0,20.5,28.5,0.3,0.025,15.0
17.0,30,7.0,3.97,2.55,0.108,50000,24000,17.0, W 61903-2Z,17.0,21,-,-,27.8,0.3,19.0,20.5,28.5,0.3,0.025,15.0
17.0,30,7.0,3.97,2.55,0.108,50000,32000,15.5,W 61903,17.0,21,-,-,27.8,0.3,19.0,-,28.5,0.3,0.025,15.0
17.0,35,10.0,4.94,3.15,0.137,-,13000,38.0, W 6003-2RS1,17.0,23.5,-,-,31.9,0.3,19.0,23,33.0,0.3,0.03,14.0
17.0,35,10.0,4.94,3.15,0.137,45000,22000,38.5, W 6003-2Z,17.0,23.5,-,-,31.9,0.3,19.0,23,33.0,0.3,0.03,14.0
17.0,35,10.0,4.94,3.15,0.137,45000,28000,36.0,W 6003,17.0,23.5,-,-,31.9,0.3,19.0,-,33.0,0.3,0.03,14.0
17.0,40,12.0,8.06,4.75,0.2,-,12000,64.5, W 6203-2RS1,17.0,24.9,-,-,35.8,0.6,21.0,24.5,37.5,0.6,0.03,13.0
17.0,40,12.0,8.06,4.75,0.2,40000,20000,65.5, W 6203-2Z,17.0,24.9,-,-,35.8,0.6,21.0,24.5,37.5,0.6,0.03,13.0
17.0,40,12.0,8.06,4.75,0.2,40000,26000,61.5,W 6203,17.0,24.9,-,-,35.8,0.6,21.0,-,37.5,0.6,0.03,13.0
17.0,47,14.0,11.7,6.55,0.28,-,10000,112.0, W 6303-2RS1,17.0,27.5,-,-,41.1,1.0,22.0,27,42.0,1.0,0.035,12.0
17.0,47,14.0,11.7,6.55,0.28,36000,18000,113.0,W 6303-2Z,17.0,27.5,-,-,41.1,1.0,22.0,27,42.0,1.0,0.035,12.0
17.0,47,14.0,11.7,6.55,0.28,36000,22000,107.0,W 6303,17.0,27.5,-,-,41.1,1.0,22.0,-,42.0,1.0,0.035,12.0
20.0,32,7.0,3.12,2.08,0.09,-,13000,17.0, W 61804-2RS1,20.0,-,22.6,-,29.6,0.3,22.0,22.5,30.5,0.3,0.02,13.0
20.0,32,7.0,3.12,2.08,0.09,48000,24000,17.0, W 61804-2Z,20.0,-,22.6,-,29.6,0.3,22.0,22.5,30.5,0.3,0.02,13.0
20.0,37,9.0,5.53,3.65,0.156,-,12000,35.5, W 61904-2RS1,20.0,-,23.6,-,33.5,0.3,22.0,23.5,35.0,0.3,0.025,15.0
20.0,37,9.0,5.53,3.65,0.156,43000,26000,32.5,W 61904,20.0,-,23.6,-,33.5,0.3,22.0,-,35.0,0.3,0.025,15.0
20.0,42,12.0,8.06,5.0,0.212,-,11000,64.5, W 6004-2RS1,20.0,27.6,-,-,38.8,0.6,24.0,27.5,39.5,0.6,0.03,14.0
20.0,42,12.0,8.06,5.0,0.212,38000,19000,64.5, W 6004-2Z,20.0,27.6,-,-,38.8,0.6,24.0,27.5,39.5,0.6,0.03,14.0
20.0,42,12.0,8.06,5.0,0.212,38000,24000,60.5,W 6004,20.0,27.6,-,-,38.8,0.6,24.0,-,39.5,0.6,0.03,14.0
20.0,47,14.0,10.8,6.55,0.28,-,10000,105.0, W 6204-2RS1,20.0,29.5,-,-,41,1.0,25.0,29,42.0,1.0,0.03,13.0
20.0,47,14.0,10.8,6.55,0.28,34000,17000,106.0, W 6204-2Z,20.0,29.5,-,-,41,1.0,25.0,29,42.0,1.0,0.03,13.0
20.0,47,14.0,10.8,6.55,0.28,34000,22000,100.0,W 6204,20.0,29.5,-,-,41,1.0,25.0,-,42.0,1.0,0.03,13.0
20.0,52,15.0,13.8,7.8,0.335,-,9500,143.0, W 6304-2RS1,20.0,30,-,-,45.4,1.1,26.5,29.5,46.0,1.0,0.035,12.0
20.0,52,15.0,13.8,7.8,0.335,34000,17000,144.0,W 6304-2Z,20.0,30,-,-,45.4,1.1,26.5,29.5,46.0,1.0,0.035,12.0
20.0,52,15.0,13.8,7.8,0.335,34000,20000,136.0,W 6304,20.0,30,-,-,45.4,1.1,26.5,-,46.0,1.0,0.035,12.0
25.0,37,7.0,3.38,2.5,0.108,-,11000,21.0, W 61805-2RS1,25.0,28.2,-,-,34.2,0.3,27.0,28,35.0,0.3,0.02,14.0
25.0,37,7.0,3.38,2.5,0.108,38000,19000,21.0,W 61805-2Z,25.0,28.2,-,-,34.2,0.3,27.0,28,35.0,0.3,0.02,14.0
25.0,42,9.0,6.05,4.5,0.193,-,10000,39.5, W 61905-2RS1,25.0,30.9,-,-,39.5,0.3,27.0,30.5,40.5,0.3,0.025,15.0
25.0,47,12.0,8.71,5.85,0.25,-,9500,76.5, W 6005-2RS1,25.0,31.7,-,-,42.8,0.6,29.0,31.5,44.5,0.6,0.03,15.0
25.0,47,12.0,8.71,5.85,0.25,32000,16000,77.5, W 6005-2Z,25.0,31.7,-,-,42.8,0.6,29.0,31.5,44.5,0.6,0.03,15.0
25.0,47,12.0,8.71,5.85,0.25,32000,20000,71.5,W 6005,25.0,31.7,-,-,42.8,0.6,29.0,-,44.5,0.6,0.03,15.0
25.0,52,15.0,11.7,7.65,0.335,-,8500,128.0, W 6205-2RS1,25.0,34,-,-,45.8,1.0,30.0,33.5,47.0,1.0,0.03,14.0
25.0,52,15.0,11.7,7.65,0.335,30000,15000,130.0, W 6205-2Z,25.0,34,-,-,45.8,1.0,30.0,33.5,47.0,1.0,0.03,14.0
25.0,52,15.0,11.7,7.65,0.335,30000,19000,122.0, W 6205,25.0,34,-,-,45.8,1.0,30.0,-,47.0,1.0,0.03,14.0
25.0,62,17.0,17.8,11.2,0.48,-,7500,234.0, W 6305-2RS1,25.0,38.1,-,-,53.3,1.1,31.5,38,55.0,1.0,0.035,13.0
25.0,62,17.0,17.8,11.2,0.48,26000,13000,235.0,W 6305-2Z,25.0,38.1,-,-,53.3,1.1,31.5,38,55.0,1.0,0.035,13.0
25.0,62,17.0,17.8,11.2,0.48,26000,17000,224.0,W 6305,25.0,38.1,-,-,53.3,1.1,31.5,-,55.0,1.0,0.035,13.0
30.0,42,7.0,3.58,2.9,0.125,-,9500,24.0,W 61806-2RS1,30.0,33.1,-,-,39.2,0.3,32.0,33,40.0,0.3,0.02,14.0
