d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_ohne_Sprengring,Kurzzeichen_Lager_mit_Sprengring,Kurzzeichen_Sprengring,d,d1,D2,D3,D4,b,f,C,r12_min,r0_max,da_min,da_max,Da_max,Db_min,ba_min,Ca_max,ra_max,kr
65,120,23,60.5,58.5,2.5,10000,6000,1.05,213,213 NR,SP 120,65,83.3,105.8,115.21,129.7,3.1,2.82,4.06,1.5,0.6,74.0,-,111,131,3.5,6.88,1.5,0.04
65,120,23,60.5,58.5,2.5,10000,6000,1.05,213-Z,213-ZNR,SP 120,65,83.3,105.8,115.21,129.7,3.1,2.82,4.06,1.5,0.6,74.0,83,111,131,3.5,6.88,1.5,0.04
65,120,23,60.5,58.5,2.5,10000,4800,1.05,213-2Z,213-2ZNR,SP 120,65,83.3,105.8,115.21,129.7,3.1,2.82,4.06,1.5,0.6,74.0,83,111,131,3.5,6.88,1.5,0.04
65,140,33,102.0,90.0,3.75,9000,5300,2.3,313,313 NR,SP 140,65,88.3,121.3,135.23,149.7,3.1,2.82,4.9,2.1,0.6,77.0,-,128,151,3.5,7.72,2.0,0.05
65,140,33,102.0,90.0,3.75,9000,5300,2.3,313-Z,313-ZNR,SP 140,65,88.3,121.3,135.23,149.7,3.1,2.82,4.9,2.1,0.6,77.0,88,128,151,3.5,7.72,2.0,0.05
65,140,33,102.0,90.0,3.75,9000,4300,2.3,313-2Z,313-2ZNR,SP 140,65,88.3,121.3,135.23,149.7,3.1,2.82,4.9,2.1,0.6,77.0,88,128,151,3.5,7.72,2.0,0.05
70,125,24,66.0,65.5,2.75,9500,5600,1.15,214,214 NR,SP 125,70,87.0,111.0,120.22,134.7,3.1,2.82,4.06,1.5,0.6,79.0,-,116,136,3.5,6.88,1.5,0.04
70,125,24,66.0,65.5,2.75,9500,5600,1.15,214-Z,214-ZNR,SP 125,70,87.0,111.0,120.22,134.7,3.1,2.82,4.06,1.5,0.6,79.0,87,116,136,3.5,6.88,1.5,0.04
70,125,24,66.0,65.5,2.75,9500,4500,1.15,214-2Z,214-2ZNR,SP 125,70,87.0,111.0,120.22,134.7,3.1,2.82,4.06,1.5,0.6,79.0,87,116,136,3.5,6.88,1.5,0.04
70,150,35,114.0,102.0,4.15,8000,5000,2.75,314,314 NR,SP 150,70,93.7,129.9,145.24,159.7,3.1,2.82,4.9,2.1,0.6,82.0,-,138,162,3.5,7.72,2.0,0.05
70,150,35,114.0,102.0,4.15,8000,5000,2.75,314-Z,314-ZNR,SP 150,70,93.7,129.9,145.24,159.7,3.1,2.82,4.9,2.1,0.6,82.0,93,138,162,3.5,7.72,2.0,0.05
70,150,35,114.0,102.0,4.15,8000,4000,2.75,314-2Z,314-2ZNR,SP 150,70,93.7,129.9,145.24,159.7,3.1,2.82,4.9,2.1,0.6,82.0,93,138,162,3.5,7.72,2.0,0.05
75,130,25,72.1,72.0,3.0,9000,5300,1.25,215,215 NR,SP 130,75,92.0,116.5,125.22,139.7,3.1,2.82,4.06,1.5,0.6,84.0,-,121,141,3.5,6.88,1.5,0.04
75,130,25,72.1,72.0,3.0,9000,5300,1.25,215-Z,215-ZNR,SP 130,75,92.0,116.5,125.22,139.7,3.1,2.82,4.06,1.5,0.6,84.0,92,121,141,3.5,6.88,1.5,0.04
75,130,25,72.1,72.0,3.0,9000,4300,1.25,215-2Z,215-2ZNR,SP 130,75,92.0,116.5,125.22,139.7,3.1,2.82,4.06,1.5,0.6,84.0,92,121,141,3.5,6.88,1.5,0.04
75,160,37,125.0,116.0,4.55,7500,4800,3.25,315,-,-,75,99.7,138.4,-,-,-,-,-,2.1,-,87.0,-,148,-,-,-,2.0,0.05
75,160,37,125.0,116.0,4.55,7500,4800,3.25,315-Z,-,-,75,99.7,138.4,-,-,-,-,-,2.1,-,87.0,99,148,-,-,-,2.0,0.05
75,160,37,125.0,116.0,4.55,7500,3840,3.25,315-2Z,-,-,75,99.7,138.4,-,-,-,-,-,2.1,-,87.0,99,148,-,-,-,2.0,0.05
80,140,26,88.0,85.0,3.45,8500,5000,1.55,216,216 NR,SP 140,80,95.8,126.5,135.23,149.7,3.1,2.82,4.9,2.0,0.6,89.0,-,129,151,3.5,7.72,2.0,0.04
80,140,26,88.0,85.0,3.45,8500,5000,1.55,216-Z,216-ZNR,SP 140,80,95.8,126.5,135.23,149.7,3.1,2.82,4.9,2.0,0.6,89.0,88,129,151,3.5,7.72,2.0,0.04
80,140,26,88.0,85.0,3.45,8500,4000,1.55,216-2Z,216-2ZNR,SP 140,80,95.8,126.5,135.23,149.7,3.1,2.82,4.9,2.0,0.6,89.0,88,129,151,3.5,7.72,2.0,0.04
80,170,39,138.0,129.0,4.9,7000,4300,3.95,316,-,-,80,106.0,146.9,-,-,-,-,-,2.1,-,92.0,-,158,-,-,-,2.0,0.05
80,170,39,138.0,129.0,4.9,7000,4300,3.95,316-Z,-,-,80,106.0,146.9,-,-,-,-,-,2.1,-,92.0,105,158,-,-,-,2.0,0.05
80,170,39,138.0,129.0,4.9,7000,3440,3.95,316-2Z,-,-,80,106.0,146.9,-,-,-,-,-,2.1,-,92.0,105,158,-,-,-,2.0,0.05
85,150,28,96.8,100.0,3.9,7500,4800,1.95,217,217 NR,SP 150,85,104.0,134.3,145.24,159.7,3.1,2.82,4.9,2.0,0.6,96.0,-,139,162,3.5,7.72,2.0,0.04
85,150,28,96.8,100.0,3.9,7500,4800,1.95,217-Z,-,-,85,104.0,134.3,-,-,-,-,-,2.0,-,96.0,96,139,-,-,-,2.0,0.04
85,150,28,96.8,100.0,3.9,7500,3900,1.95,217-2Z,-,-,85,104.0,134.3,-,-,-,-,-,2.0,-,96.0,96,139,-,-,-,2.0,0.04
85,180,41,147.0,146.0,5.3,6700,4000,4.6,317,-,-,85,112.0,155.4,-,-,-,-,-,3.0,-,98.0,-,167,-,-,-,2.5,0.05
85,180,41,147.0,146.0,5.3,6700,4000,4.6,317-Z,-,-,85,112.0,155.4,-,-,-,-,-,3.0,-,98.0,112,167,-,-,-,2.5,0.05
85,180,41,147.0,146.0,5.3,6700,3200,4.6,317-2Z,-,-,85,112.0,155.4,-,-,-,-,-,3.0,-,98.0,112,167,-,-,-,2.5,0.05
90,160,30,112.0,114.0,4.3,7000,4300,2.35,218,218 NR,SP 160,90,110.0,142.6,155.22,169.7,3.1,2.82,4.9,2.0,0.6,100.0,-,150,172,3.5,7.72,2.0,0.04
90,160,30,112.0,114.0,4.3,7000,4300,2.35,218-Z,-,-,90,110.0,142.6,-,-,-,-,-,2.0,-,100.0,110,150,-,-,-,2.0,0.04
90,160,30,112.0,114.0,4.3,7000,4300,2.35,218-2Z,-,-,90,110.0,142.6,-,-,-,-,-,2.0,-,100.0,110,150,-,-,-,2.0,0.04
90,190,43,157.0,160.0,5.7,6300,4000,5.4,318,-,-,90,119.0,163.9,-,-,-,-,-,3.0,-,103.0,-,177,-,-,-,2.5,0.05
90,190,43,157.0,160.0,5.7,6300,4000,5.4,318-Z,-,-,90,119.0,163.9,-,-,-,-,-,3.0,-,103.0,118,177,-,-,-,2.5,0.05
90,190,43,157.0,160.0,5.7,6300,3200,5.4,318-2Z,-,-,90,119.0,163.9,-,-,-,-,-,3.0,-,103.0,118,177,-,-,-,2.5,0.05
95,170,32,121.0,122.0,4.5,6700,4000,2.7,219,219 NR,SP 170,95,116.0,151.3,163.65,182.9,3.5,3.1,5.69,2.1,0.6,107.0,-,158,185,4,8.79,2.0,0.04
95,170,32,121.0,122.0,4.5,6700,4000,2.7,219-Z,-,-,95,116.0,151.3,-,-,-,-,-,2.1,-,107.0,116,158,-,-,-,2.0,0.04
95,170,32,121.0,122.0,4.5,6700,4000,2.7,219-2Z,-,-,95,116.0,151.3,-,-,-,-,-,2.1,-,107.0,116,158,-,-,-,2.0,0.04
100,180,34,134.0,140.0,5.0,6300,4000,3.45,220,-,-,100,123.0,159.9,-,-,-,-,-,2.1,-,112.0,-,168,-,-,-,2.0,0.04
100,180,34,134.0,140.0,5.0,6300,4000,3.45,220-Z,-,-,100,123.0,159.9,-,-,-,-,-,2.1,-,112.0,122,168,-,-,-,2.0,0.04
100,180,34,134.0,140.0,5.0,6300,4000,3.45,220-2Z,-,-,100,123.0,159.9,-,-,-,-,-,2.1,-,112.0,122,168,-,-,-,2.0,0.04
