d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,d1,D1,E_F,r12_min,r34_min,s_max,da_min,das,db_max,Da_max,Db_max,ra_max,rb_max,kr
160,290,80,990.0,1500.0,160.0,950,1200,23.0,NCF 2232 V,160,208.0,255.0,266.36,3.0,3,6.0,176,201.0,-,276,276,2.5,2.5,0.3
170,230,36,314.0,560.0,60.0,1200,1500,4.3, NCF 2934 CV,170,191.0,211.0,218.0,2.0,1.1,2.5,179,188.0,-,221,223,2.0,1,0.2
170,260,67,671.0,1060.0,118.0,1100,1400,12.5,NCF 3034 CV,170,198.0,232.0,242.85,2.1,1.1,7.0,181,192.0,-,249,252,2.0,1,0.3
170,310,86,1100.0,1700.0,176.0,900,1100,28.5,NCF 2234 V,170,219.0,269.0,281.09,4.0,4,7.0,189,212.0,-,295,294,3.0,3,0.3
170,360,120,1760.0,2450.0,236.0,700,900,59.5,NJG 2334 VH,170,227.0,291.0,203.55,4.0,-,7.0,187,215.0,198,342,-,3.0,-,0.35
180,250,42,391.0,695.0,75.0,1100,1400,6.2, NCF 2936 CV,180,203.0,223.0,232.0,2.0,1.1,2.5,189,199.0,-,241,243,2.0,1,0.2
180,280,74,781.0,1250.0,134.0,1100,1300,16.5,NCF 3036 CV,180,212.0,248.0,260.22,2.1,2.1,7.0,192,206.0,-,269,269,2.0,2,0.3
180,380,126,1870.0,2650.0,255.0,670,800,69.5,NJG 2336 VH,180,245.0,309.0,221.75,4.0,-,8.0,199,233.0,215,361,-,3.0,-,0.35
190,260,42,440.0,780.0,81.5,1100,1400,6.5, NCF 2938 CV,190,212.0,236.0,244.0,2.0,1.1,2.0,199,208.0,-,250,252,2.0,1,0.2
190,290,75,792.0,1290.0,140.0,1000,1300,17.0,NCF 3038 CV,190,222.0,258.0,269.76,2.1,2.1,8.0,202,216.0,-,279,279,2.0,2,0.3
190,340,92,1250.0,1900.0,196.0,800,1000,35.5,NCF 2238 V,190,243.0,296.0,310.68,4.0,4,7.0,209,235.0,-,325,324,3.0,3,0.3
190,400,132,2160.0,3000.0,280.0,630,800,80.0,NJG 2338 VH,190,250.0,320.0,224.544,5.0,-,8.0,210,239.0,222,378,-,4.0,-,0.35
200,250,24,176.0,335.0,32.5,1100,1400,2.6,NCF 1840 V,200,218.0,231.0,237.5,1.5,1.1,1.8,207,215.0,-,243,244,1.5,1,0.1
200,280,48,528.0,965.0,100.0,1000,1300,9.1, NCF 2940 CV,200,226.0,253.0,262.0,2.1,1.5,3.0,211,222.0,-,269,271,2.0,1.5,0.2
200,310,82,913.0,1530.0,160.0,950,1200,22.5,NCF 3040 CV,200,237.0,275.0,287.75,2.1,2.1,9.0,213,230.0,-,299,299,2.0,2,0.3
200,420,138,2290.0,3200.0,290.0,600,750,92.0,NJG 2340 VH,200,266.0,342.0,238.65,5.0,-,9.0,221,252.0,232,398,-,4.0,-,0.35
220,270,24,183.0,365.0,34.5,1000,1200,2.85,NCF 1844 V,220,238.0,252.0,258.0,1.5,1.1,1.8,227,235.0,-,263,264,1.5,1,0.1
220,300,48,550.0,1060.0,106.0,900,1200,9.9, NCF 2944 CV,220,247.0,274.0,283.0,2.1,1.5,3.0,231,243.0,-,289,291,2.0,1.5,0.2
220,340,90,1080.0,1800.0,186.0,850,1100,29.5,NCF 3044 CV,220,255.0,298.0,312.2,3.0,3,9.0,233,248.0,-,327,327,2.5,2.5,0.3
220,400,108,1830.0,2750.0,255.0,700,850,58.0,NCF 2244 V,220,277.0,349.0,366.0,4.0,4,8.0,239,268.0,-,385,383,3.0,3,0.3
220,460,145,2700.0,3750.0,335.0,530,670,111.0,NJG 2344 VH,220,295.0,383.0,266.7,5.0,-,10.0,240,281.0,259,440,-,4.0,-,0.35
240,300,28,260.0,510.0,47.5,900,1100,4.4,NCF 1848 V,240,263.0,279.0,287.0,2.0,1.1,1.8,249,259.0,-,291,294,2.0,1,0.1
240,320,48,583.0,1140.0,114.0,850,1100,10.5, NCF 2948 CV,240,267.0,294.0,303.0,2.1,1.5,3.0,251,263.0,-,309,311,2.0,1.5,0.2
240,360,92,1140.0,1960.0,200.0,800,1000,32.0,NCF 3048 CV,240,278.0,321.0,335.1,3.0,3,11.0,254,271.0,-,347,347,2.5,2.5,0.3
240,500,155,3140.0,4400.0,390.0,480,600,147.0,NJG 2348 VH,240,310.0,403.0,287.75,5.0,-,10.0,260,295.0,282,480,-,4.0,-,0.35
