d,D,H,C,C0,Pu,Minimallastfaktor_A,Referenzdrehzal,Grenzdrehzal,Gewicht_kg,Kurzzeichen,d,d1,D1,B,B1,C,r12,s,da_min,db1_max,db2_max,Ha_min,Da_max,ra_max
560,750,115,2990,16000,1220,24.0,480,800,140.0,292/560,560,732,644.0,37.0,111.0,61.0,5.0,302.0,655,-,-,-,685,4.0
560,980,250,12000,51000,3550,250.0,300,560,810.0,294/560 EM,560,890,727.0,99.0,241.0,122.0,12.0,328.0,770,-,-,-,850,10.0
600,800,122,3740,18600,1460,33.0,450,700,170.0,292/600 EM,600,760,688.0,39.0,117.0,60.0,5.0,321.0,700,-,-,-,735,4.0
600,1030,258,13100,56000,4000,300.0,280,530,845.0,294/600 EM,600,940,769.0,99.0,249.0,128.0,12.0,349.0,815,-,-,-,900,10.0
630,850,132,4770,23600,1800,53.0,400,670,210.0,292/630 EM,630,810,723.0,50.0,127.0,62.0,6.0,338.0,740,-,-,-,780,5.0
630,950,190,8450,38000,2900,140.0,320,600,485.0,293/630 EM,630,880,761.0,68.0,183.0,92.0,9.5,359.0,795,-,-,-,860,8.0
630,1090,280,14400,62000,4150,370.0,260,500,1040.0,294/630 EM,630,995,815.0,107.0,270.0,137.0,12.0,365.0,860,-,-,-,950,10.0
670,1150,290,15400,68000,4500,440.0,240,450,1210.0,294/670 EM,670,1045,864.0,110.0,280.0,141.0,15.0,387.0,905,-,-,-,1000,12.0
710,1060,212,9950,45500,3400,200.0,280,500,610.0,293/710 EM,710,985,855.0,74.0,205.0,103.0,9.5,404.0,890,-,-,-,960,8.0
710,1220,308,17600,76500,5000,560.0,220,430,1500.0,294/710 EF,710,1110,917.0,117.0,298.0,149.0,15.0,415.0,965,-,-,-,1070,12.0
750,1280,315,18700,85000,5500,690.0,200,400,1650.0,294/750 EF,750,1170,964.0,121.0,305.0,153.0,15.0,436.0,1015,-,-,-,1120,12.0
800,1060,155,6560,34500,2550,110.0,320,530,380.0,292/800 EM,800,1010,911.0,52.0,149.0,77.0,7.5,434.0,935,-,-,-,980,6.0
800,1180,230,11300,55000,3900,290.0,240,450,810.0,293/800 EM,800,1099,958.0,78.0,222.0,117.0,9.5,440.0,985,-,-,-,1060,8.0
800,1360,335,20200,93000,5850,820.0,190,360,2030.0,294/800 EF,800,1250,1034.0,123.0,324.0,165.0,15.0,462.0,1080,-,-,-,1185,12.0
850,1440,354,23900,108000,7100,1100.0,170,340,2390.0,294/850 EF,850,1315,1077.0,142.0,342.0,172.0,15.0,507.0,1160,-,-,-,1270,12.0
900,1520,372,26700,122000,7200,1400.0,160,300,2650.0,294/900 EF,900,1394,1137.0,147.0,360.0,186.0,15.0,518.0,1215,-,-,-,1320,12.0
950,1600,390,28200,132000,7800,1700.0,140,280,3070.0,294/950 EF,950,1470,1209.0,153.0,377.0,191.0,15.0,546.0,1275,-,-,-,1400,12.0
1000,1670,402,31100,140000,8650,1900.0,130,260,3390.0,294/1000 EF,1000,1531,1270.0,154.9,389.0,190.0,15.0,599.0,1350,-,-,-,1490,12.0
1060,1770,426,33400,156000,8500,2300.0,120,240,4280.0,294/1060 EF,1060,1615,1349.0,192.0,412.0,207.0,15.0,610.0,1410,-,-,-,1555,12.0
