d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Universallager,Kurzzeichen_Lager_der_Grundausführung_mit_Dichtungen,d,d1,d2,D1_D2,D5,r12_min,r34_min,a,da_min,da_max,Da_max,Db_max,ra_max,rb_max,A,kr
25,62,17,26.5,15.3,0.655,14000,19000,0.23,7305 BECBM,-,25,39.7,32.3,48.3,-,1.1,0.6,26.8,32.0,-,55.0,57.0,1.0,0.6,0.00391,0.1
25,62,17,29.0,17.0,0.72,15000,22000,0.23,7305 ACCBM,-,25,39.5,32.2,48.1,-,1.1,0.6,18.0,32.0,-,55.0,57.0,1.0,0.6,0.00158,0.1
30,62,16,22.5,14.3,0.61,13000,10000,0.26,-,7206 BE-2RZP,30,42.6,36.1,51.8,57.6,1.0,0.6,27.3,35.6,42,56.0,57.0,1.0,0.6,0.00377,0.095
30,62,16,22.5,14.3,0.61,13000,13000,0.2,-,7206 BEP,30,42.6,36.1,50.1,-,1.0,0.6,27.3,35.6,-,56.0,57.0,1.0,0.6,0.00377,0.095
30,62,16,24.0,15.6,0.655,13000,14000,0.2,7206 BECBP,-,30,42.6,36.1,50.1,-,1.0,0.6,27.3,35.6,-,56.0,57.0,1.0,0.6,0.00377,0.095
30,62,16,24.0,15.6,0.655,13000,14000,0.2,7206 BECBPH,-,30,42.6,36.1,50.1,-,1.0,0.6,27.3,35.6,-,56.0,57.0,1.0,0.6,0.00377,0.095
30,62,16,24.0,15.6,0.655,13000,18000,0.2,7206 BECBM,-,30,42.6,36.1,50.1,-,1.0,0.6,27.3,35.6,-,56.0,57.0,1.0,0.6,0.00377,0.095
30,62,16,25.5,17.0,0.71,13000,14000,0.2,7206 BECBY,-,30,42.6,36.1,50.1,-,1.0,0.6,27.3,35.6,-,56.0,57.0,1.0,0.6,0.00408,0.095
30,62,16,27.5,17.3,0.735,15000,20000,0.2,7206 ACCBM,-,30,42.4,35.9,50.1,-,1.0,0.6,18.0,35.6,-,56.0,57.0,1.0,0.6,0.00155,0.095
30,72,19,32.5,19.3,0.815,12000,9500,0.35,-,7306 BE-2RZP,30,46.5,37.9,58.8,66.45,1.1,0.6,31.0,37.0,46,65.0,67.0,1.0,0.6,0.0074,0.1
30,72,19,32.5,19.3,0.815,12000,12000,0.34,-,7306 BEP,30,46.5,37.9,56.6,-,1.1,0.6,31.0,37.0,-,65.0,67.0,1.0,0.6,0.0074,0.1
30,72,19,35.5,21.2,0.9,12000,13000,0.34,7306 BECBP,-,30,46.5,37.9,56.6,-,1.1,0.6,31.0,37.0,-,65.0,67.0,1.0,0.6,0.0074,0.1
30,72,19,35.5,21.2,0.9,12000,13000,0.34,7306 BEGAPH,-,30,46.5,37.9,56.6,-,1.1,0.6,31.0,37.0,-,65.0,67.0,1.0,0.6,0.0074,0.1
30,72,19,35.5,21.2,0.9,12000,16000,0.34,7306 BECBM,-,30,46.5,37.9,56.6,-,1.1,0.6,31.0,37.0,-,65.0,67.0,1.0,0.6,0.0074,0.1
30,72,19,37.5,23.2,0.98,12000,13000,0.34,7306 BECBY,-,30,46.5,37.9,56.6,-,1.1,0.6,31.0,37.0,-,65.0,67.0,1.0,0.6,0.00814,0.1
30,72,19,39.0,23.6,1.0,13000,19000,0.34,7306 ACCBM,-,30,46.3,37.8,56.4,-,1.1,0.6,21.0,37.0,-,65.0,67.0,1.0,0.6,0.003,0.1
35,72,17,29.1,19.0,0.815,11000,9000,0.35,-,7207 BE-2RZP,35,49.6,41.9,59.9,67.7,1.1,0.6,31.0,42.0,49,65.0,67.0,1.0,0.6,0.00674,0.095
35,72,17,29.1,19.0,0.815,11000,11000,0.28,-,7207 BEP,35,49.6,41.9,58.3,-,1.1,0.6,31.0,42.0,-,65.0,67.0,1.0,0.6,0.00674,0.095
35,72,17,31.0,20.8,0.88,11000,12000,0.28,7207 BECBP,-,35,49.6,41.9,58.3,-,1.1,0.6,31.0,42.0,-,65.0,67.0,1.0,0.6,0.00674,0.095
35,72,17,31.0,20.8,0.88,11000,15000,0.28,7207 BECBM,-,35,49.6,41.9,58.3,-,1.1,0.6,31.0,42.0,-,65.0,67.0,1.0,0.6,0.00674,0.095
35,72,17,32.5,22.4,0.95,11000,12000,0.28,7207 BECBY,-,35,49.6,41.9,58.3,-,1.1,0.6,31.0,42.0,-,65.0,67.0,1.0,0.6,0.0073,0.095
35,72,17,35.5,23.2,0.98,12000,18000,0.28,7207 ACCBM,-,35,49.4,41.9,58.3,-,1.1,0.6,20.0,42.0,-,65.0,67.0,1.0,0.6,0.00277,0.095
35,80,21,39.0,24.5,1.04,11000,8500,0.45,-,7307 BE-2RZP,35,52.5,43.6,65.1,74.3,1.5,1.0,35.0,44.0,52,71.0,74.0,1.5,1.0,0.0111,0.1
35,80,21,39.0,24.5,1.04,11000,10000,0.45,-,7307 BEP,35,52.5,43.6,63.5,-,1.5,1.0,35.0,44.0,-,71.0,74.0,1.5,1.0,0.0111,0.1
35,80,21,41.5,26.5,1.14,11000,11000,0.45,7307 BECBP,-,35,52.5,43.6,63.5,-,1.5,1.0,35.0,44.0,-,71.0,74.0,1.5,1.0,0.0111,0.1
35,80,21,41.5,26.5,1.14,11000,11000,0.45,7307 BECBY,-,35,52.5,43.6,63.5,-,1.5,1.0,35.0,44.0,-,71.0,74.0,1.5,1.0,0.0111,0.1
35,80,21,41.5,26.5,1.14,11000,11000,0.45,7307 BEGAPH,-,35,52.5,43.6,63.5,-,1.5,1.0,35.0,44.0,-,71.0,74.0,1.5,1.0,0.0111,0.1
35,80,21,41.5,26.5,1.14,11000,14000,0.45,7307 BECBM,-,35,52.5,43.6,63.5,-,1.5,1.0,35.0,44.0,-,71.0,74.0,1.5,1.0,0.0111,0.1
35,80,21,46.5,30.0,1.27,11000,17000,0.45,7307 ACCBM,-,35,52.5,43.5,63.2,-,1.5,1.0,23.0,44.0,-,71.0,74.0,1.5,1.0,0.00453,0.1
40,80,18,34.5,24.0,1.02,10000,8000,0.42,-,7208 BE-2RZP,40,56.2,48.0,67.2,75.3,1.1,0.6,34.0,47.0,55,73.0,75.0,1.0,0.6,0.0102,0.095
40,80,18,34.5,24.0,1.02,10000,10000,0.37,-,7208 BEP,40,56.2,48.0,65.6,-,1.1,0.6,34.0,47.0,-,73.0,75.0,1.0,0.6,0.0102,0.095
40,80,18,36.5,26.0,1.1,10000,11000,0.37,7208 BECBP,-,40,56.2,48.0,65.6,-,1.1,0.6,34.0,47.0,-,73.0,75.0,1.0,0.6,0.0102,0.095
40,80,18,36.5,26.0,1.1,10000,11000,0.37,7208 BECBPH,-,40,56.2,48.0,65.6,-,1.1,0.6,34.0,47.0,-,73.0,75.0,1.0,0.6,0.0102,0.095
40,80,18,36.5,26.0,1.1,10000,13000,0.37,7208 BECBM,-,40,56.2,48.0,65.6,-,1.1,0.6,34.0,47.0,-,73.0,75.0,1.0,0.6,0.0102,0.095
40,80,18,39.0,28.0,1.2,10000,11000,0.37,7208 BECBY,-,40,56.2,48.0,65.6,-,1.1,0.6,34.0,47.0,-,73.0,75.0,1.0,0.6,0.0109,0.095
40,80,18,41.5,29.0,1.25,11000,16000,0.37,7208 ACCBM,-,40,56.0,48.0,65.5,-,1.1,0.6,23.0,47.0,-,73.0,75.0,1.0,0.6,0.00419,0.095
40,90,23,46.2,30.5,1.29,9500,7500,0.62,-,7308 BE-2RZP,40,59.7,49.5,73.9,83,1.5,1.0,39.0,49.0,59,81.0,84.0,1.5,1.0,0.0173,0.1
40,90,23,46.2,30.5,1.29,9500,9000,0.62,-,7308 BEP,40,59.7,49.5,71.6,-,1.5,1.0,39.0,49.0,-,81.0,84.0,1.5,1.0,0.0173,0.1
40,90,23,50.0,32.5,1.37,9500,10000,0.62,7308 BECBP,-,40,59.7,49.5,71.6,-,1.5,1.0,39.0,49.0,-,81.0,84.0,1.5,1.0,0.0173,0.1
40,90,23,50.0,32.5,1.37,9500,10000,0.62,7308 BEGAPH,-,40,59.7,49.5,71.6,-,1.5,1.0,39.0,49.0,-,81.0,84.0,1.5,1.0,0.0173,0.1
40,90,23,50.0,32.5,1.37,9500,12000,0.68,7308 BECBM,-,40,59.5,49.5,71.6,-,1.5,1.0,39.0,49.0,-,81.0,84.0,1.5,1.0,0.0173,0.1
