d,D,B,C,C_dynamisch,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen,d,F,r12_min,s_max,da_min,Da_max,ra_max
38,53,20,-,27.5,55.0,6.8,9500,11000,0.13,NKI 38/20,38,43,0.3,0.5,40.0,51.0,0.3
38,53,30,-,40.2,90.0,11.2,9500,11000,0.21, NKI 38/30,38,43,0.3,1.0,40.0,51.0,0.3
40,55,20,-,31.4,65.5,8.3,9000,10000,0.14, NKI 40/20 TN,40,45,0.3,0.5,42.0,53.0,0.3
40,55,30,-,45.7,108.0,13.7,9000,10000,0.22, NKI 40/30 TN,40,45,0.3,1.0,42.0,53.0,0.3
40,62,22,-,42.9,71.0,8.8,8000,9500,0.23, NA 4908,40,48,0.6,1.0,44.0,58.0,0.6
40,62,23,22,36.9,58.5,7.1,-,4000,0.25, NA 4908.2RS,40,48,0.6,0.5,44.0,58.0,0.6
40,62,40,-,67.1,125.0,15.3,8000,9500,0.43, NA 6908,40,48,0.6,0.5,44.0,58.0,0.6
40,65,22,-,42.9,72.0,8.8,8000,9000,0.28,NKIS 40,40,50,1.0,0.5,45.0,60.0,1.0
42,57,20,-,29.2,61.0,7.65,8500,10000,0.14,NKI 42/20,42,47,0.3,0.5,44.0,55.0,0.3
42,57,30,-,41.8,98.0,12.5,8500,10000,0.22,NKI 42/30,42,47,0.3,1.0,44.0,55.0,0.3
45,62,25,-,42.9,91.5,11.2,8000,9000,0.22, NKI 45/25 TN,45,50,0.6,1.5,49.0,58.0,0.6
45,62,35,-,58.3,137.0,17.0,8000,9000,0.31, NKI 45/35 TN,45,50,0.6,2.0,49.0,58.0,0.6
45,68,22,-,45.7,78.0,9.65,7500,8500,0.27, NA 4909,45,52,0.6,1.0,49.0,64.0,0.6
45,68,23,22,39.1,64.0,7.8,-,3800,0.29, NA 4909.2RS,45,52,0.6,0.5,49.0,64.0,0.6
45,68,40,-,70.4,137.0,17.0,7500,8500,0.5, NA 6909,45,52,0.6,0.5,49.0,64.0,0.6
45,72,22,-,44.6,78.0,9.8,7000,8000,0.34, NKIS 45,45,55,1.0,0.5,50.0,67.0,1.0
50,68,25,-,40.2,88.0,10.8,7500,8500,0.26, NKI 50/25,50,55,0.6,1.5,54.0,64.0,0.6
50,68,35,-,52.3,122.0,15.3,7500,8500,0.36, NKI 50/35,50,55,0.6,2.0,54.0,64.0,0.6
50,72,22,-,47.3,85.0,10.6,7000,8000,0.27, NA 4910,50,58,0.6,1.0,54.0,68.0,0.6
50,72,23,22,40.2,69.5,8.5,-,3400,0.3, NA 4910.2RS,50,58,0.6,0.5,54.0,68.0,0.6
50,72,40,-,73.7,150.0,18.6,7000,8000,0.52, NA 6910,50,58,0.6,0.5,54.0,68.0,0.6
50,80,28,-,62.7,104.0,13.2,6300,7500,0.52, NKIS 50,50,60,1.1,2.0,56.5,73.5,1.0
55,72,25,-,46.8,110.0,13.4,6700,7500,0.26, NKI 55/25 TN,55,60,0.6,1.5,59.0,68.0,0.6
55,72,35,-,55.0,134.0,17.0,6700,7500,0.36, NKI 55/35,55,60,0.6,2.0,59.0,68.0,0.6
55,80,25,-,57.2,106.0,13.2,6300,7000,0.39, NA 4911,55,63,1.0,1.5,60.0,75.0,1.0
