ID,Unnamed: 0,d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_mit_Standardkäfig,Kurzzeichen_Lager_Alternative_Standardkäfige,d.1,d1,D1,FE,r12_min,r34_min,s_max,da_min,da_max,db_min_Da_min,Da_max,ra_max,rb_max,kr,Kurzzeichen_Winkelring,Gewicht_kg.1,B1,B2
1176,385,160,340,68,1000.0,1080.0,112.0,2000.0,3600,31.0, NU 332 ECML, M,160,-,286,204.0,4.0,4.0,4,177.0,199,207.0,321.9,3.0,3,0.23,HJ 332 EC,2.6,15,25
1177,386,160,340,114,1250.0,1730.0,173.0,1800.0,3600,50.0,NU 2332 ECML, -,160,-,286,204.0,4.0,4.0,11,177.0,199,207.0,321.9,3.0,3,0.38,-,-,-,-
1178,387,160,340,114,1250.0,1730.0,173.0,1800.0,3600,50.5, NJ 2332 ECML, -,160,221,286,204.0,4.0,4.0,11,177.0,199,225.0,321.9,3.0,-,0.38,-,-,-,-
1179,388,170,260,42,275.0,400.0,41.5,2800.0,4300,8.0, NU 1034 ML, M,170,-,226.9,193.0,2.1,2.1,5.8,180.0,189,197.0,250.0,2.0,2,0.15,HJ 1034,0.93,11,21
1180,389,170,260,42,275.0,400.0,41.5,2800.0,4300,8.2,NJ 1034 ML, M,170,201,226.9,193.0,2.1,2.1,5.8,180.0,189,206.0,250.0,2.0,-,0.15,HJ 1034,0.93,11,21
1181,390,170,310,52,695.0,815.0,85.0,2200.0,3800,17.5, NJ 234 ECML, M,170,220,268.5,207.0,4.0,4.0,2.9,188.0,203,224.0,292.4,3.0,-,0.23,HJ 234 EC,1.65,12,20
1182,391,170,310,52,695.0,815.0,85.0,2200.0,3800,17.5, NU 234 ECML, M,170,-,268.5,207.0,4.0,4.0,2.9,188.0,203,210.0,292.4,3.0,3,0.23,HJ 234 EC,1.65,12,20
1183,392,170,310,86,1060.0,1340.0,140.0,2200.0,3800,28.0, NU 2234 ECML, -,170,-,269.9,205.0,4.0,4.0,4.2,187.0,201,208.0,292.4,3.0,3,0.3,HJ 2234 EC,1.8,12,24
1184,393,170,310,86,1060.0,1340.0,140.0,2200.0,3800,29.0,NJ 2234 ECML, -,170,220,269.9,205.0,4.0,4.0,4.2,187.0,201,226.0,292.0,3.0,-,0.3,HJ 2234 EC,1.8,12,24
1185,394,170,360,72,952.0,1180.0,116.0,1700.0,2200,33.0, NU 334 ECM, -,170,-,300.45,218.0,4.0,4.0,4.6,187.0,213,221.0,341.6,3.0,3,0.15,-,-,-,-
1186,395,170,360,120,1450.0,2040.0,204.0,1700.0,3400,60.5,NJ 2334 ECML, -,170,234,300.2,216.0,4.0,4.0,10,186.0,211,238.0,341.6,3.0,-,0.38,-,-,-,-
1187,396,170,360,120,1450.0,2040.0,204.0,1700.0,3400,60.5, NU 2334 ECML, -,170,-,300.2,216.0,4.0,4.0,10,186.0,211,219.0,341.6,3.0,3,0.38,-,-,-,-
1188,397,180,280,46,336.0,475.0,51.0,2600.0,4000,10.5,NJ 1036 ML, M,180,215,246.1,205.0,2.1,2.1,6.1,190.0,202,218.0,270.0,2.0,-,0.15,-,-,-,-
1189,398,180,280,46,336.0,475.0,51.0,2600.0,4000,10.5, NU 1036 ML, M,180,-,246.1,205.0,2.1,2.1,6.1,190.0,202,208.0,270.0,2.0,2,0.15,HJ 1036,1.25,12,22.5
1190,399,180,320,52,720.0,850.0,88.0,2200.0,3600,18.5, NJ 236 ECML, M,180,230,278.6,217.0,4.0,4.0,2.9,198.0,213,234.0,302.2,3.0,-,0.23,HJ 236 EC,1.7,12,20
1191,400,180,320,52,720.0,850.0,88.0,2200.0,3600,18.5, NU 236 ECML, M,180,-,278.6,217.0,4.0,4.0,2.9,198.0,213,220.0,302.2,3.0,3,0.23,HJ 236 EC,1.7,12,20
1192,401,180,320,86,1100.0,1430.0,146.0,2200.0,3600,30.0,NJ 2236 ECML, M,180,229,280,215.0,4.0,4.0,4.2,197.0,211,233.0,302.2,3.0,-,0.3,HJ 2236 EC,1.9,12,24
1193,402,180,320,86,1100.0,1430.0,146.0,2200.0,3600,30.0, NU 2236 ECML, M,180,-,280,215.0,4.0,4.0,4.2,197.0,211,218.0,302.2,3.0,3,0.3,HJ 2236 EC,1.9,12,24
1194,403,180,380,75,1020.0,1290.0,125.0,1600.0,2200,42.5, NU 336 ECM, -,180,-,318.6,231.0,4.0,4.0,4.2,197.0,226,234.0,361.3,3.0,3,0.15,-,-,-,-
1195,404,180,380,75,1020.0,1290.0,125.0,1600.0,2200,44.0,NJ 336 ECM, -,180,250,318.6,231.0,4.0,4.0,4.2,197.0,226,254.5,361.0,3.0,-,0.15,-,-,-,-
1196,405,180,380,126,1610.0,2240.0,216.0,1600.0,3200,69.5,NU 2336 ECML, -,180,-,321.4,227.0,4.0,4.0,10.5,196.0,222,230.0,361.3,3.0,3,0.38,-,-,-,-
1197,406,180,380,126,1610.0,2240.0,216.0,1600.0,3200,70.5,NJ 2336 ECML, -,180,248,321.4,227.0,4.0,4.0,10.5,196.0,222,252.0,361.0,3.0,-,0.38,-,-,-,-
1198,407,190,290,46,347.0,500.0,53.0,2600.0,3800,11.0,NJ 1038 ML, M,190,225,256.1,215.0,2.1,2.1,6.1,200.0,212,231.0,280.0,2.0,-,0.15,HJ 1038,1.35,12,22.5
1199,408,190,290,46,347.0,500.0,53.0,2600.0,3800,11.0, NU 1038 ML, M,190,-,256.1,215.0,2.1,2.1,6.1,200.0,212,219.0,280.0,2.0,2,0.15,HJ 1038,1.35,12,22.5
1200,409,190,340,55,800.0,965.0,98.0,2000.0,3400,22.0, NJ 238 ECML, M,190,244,295,230.0,4.0,4.0,3,207.0,226,248.0,321.9,3.0,-,0.23,HJ 238 EC,2.2,13,21.5
1201,410,190,340,55,800.0,965.0,98.0,2000.0,3400,22.5, NU 238 ECML, M,190,-,295,230.0,4.0,4.0,3,207.0,226,233.0,321.9,3.0,3,0.23,HJ 238 EC,2.2,13,21.5
1202,411,190,340,55,800.0,965.0,98.0,2000.0,3400,22.5,NUP 238 ECML, M,190,244,295,230.0,4.0,4.0,-,207.0,-,248.0,321.9,3.0,-,0.23,-,-,-,-
1203,412,190,340,92,1220.0,1600.0,160.0,2000.0,3400,35.5, NU 2238 ECML, M,190,-,296.4,228.0,4.0,4.0,5,207.0,224,231.0,321.9,3.0,3,0.3,-,-,-,-
1204,413,190,340,92,1220.0,1600.0,160.0,2000.0,3400,37.0,NJ 2238 ECML, M,190,243,296.4,228.0,4.0,4.0,5,207.0,224,247.0,322.0,3.0,-,0.3,-,-,-,-
1205,414,190,400,78,1140.0,1500.0,143.0,1500.0,2000,50.0, NU 338 ECM,-,190,-,336.3,245.0,5.0,5.0,4.3,210.0,240,249.0,380.0,4.0,4,0.15,HJ 338 EC,4.3,18,29
1206,415,190,400,132,1830.0,2550.0,236.0,1500.0,3000,80.5,NU 2338 ECML, -,190,-,342.75,240.0,5.0,5.0,9.5,209.0,234,244.0,380.0,4.0,4,0.38,-,-,-,-
1207,416,190,400,132,1830.0,2550.0,236.0,1500.0,3000,82.0,NJ 2338 ECML, -,190,262,342.75,240.0,5.0,5.0,9.5,209.0,234,266.0,378.0,4.0,-,0.38,-,-,-,-
1208,417,200,310,51,380.0,570.0,58.5,2400.0,3600,14.0, NU 1040 ML, M,200,-,269,229.0,2.1,2.1,7,211.0,225,234.0,300.0,2.0,2,0.15,HJ 1040,1.65,13,25.5
1209,418,200,360,58,880.0,1060.0,106.0,1900.0,3200,26.5, NU 240 ECML, M,200,-,311.5,243.0,4.0,4.0,2.6,217.0,238,247.0,341.6,3.0,3,0.23,HJ 240 EC,2.55,14,23
1210,419,200,360,58,880.0,1060.0,106.0,1900.0,3200,27.0, NJ 240 ECML, M,200,258,311.5,243.0,4.0,4.0,2.6,217.0,238,262.0,341.6,3.0,-,0.23,HJ 240 EC,2.55,14,23
1211,420,200,360,98,1370.0,1800.0,180.0,1900.0,3200,44.0,NJ 2240 ECML, -,200,256,312.9,241.0,4.0,4.0,5.1,217.0,236,260.0,342.0,3.0,-,0.3,-,-,-,-
1212,421,200,360,98,1370.0,1800.0,180.0,1900.0,3200,44.0, NU 2240 ECML, -,200,-,312.9,241.0,4.0,4.0,5.1,217.0,236,245.0,341.6,3.0,3,0.3,-,-,-,-
1213,422,200,420,80,1230.0,1630.0,150.0,1400.0,2800,56.5,NJ 340 ECML, -,200,278,352.4,258.0,5.0,5.0,6,220.0,253,282.0,400.0,4.0,-,0.23,-,-,-,-
1214,423,200,420,80,1230.0,1630.0,150.0,1400.0,2800,57.0,NU 340 ECML, -,200,-,352.4,258.0,5.0,5.0,6,220.0,253,262.0,399.8,4.0,4,0.23,-,-,-,-
1215,424,200,420,138,1980.0,2800.0,255.0,1400.0,2800,92.5,NU 2340 ECML, -,200,-,357.6,253.0,5.0,5.0,9.4,220.0,247,257.0,399.8,4.0,4,0.38,-,-,-,-
1216,425,200,420,138,1980.0,2800.0,255.0,1400.0,2800,94.0,NJ 2340 ECML, -,200,278,357.6,253.0,5.0,5.0,9.4,220.0,247,282.0,399.8,4.0,-,0.38,-,-,-,-
1217,426,220,340,56,495.0,735.0,73.5,2200.0,3200,18.5,NJ 1044 ML, M,220,262,296.2,250.0,3.0,3.0,7.5,233.0,246,266.0,328.0,2.5,-,0.15,HJ 1044,2.15,14,27
1218,427,220,340,56,495.0,735.0,73.5,2200.0,3200,18.5, NU 1044 ML, -,220,-,296.2,250.0,3.0,3.0,7.5,233.0,246,254.0,328.0,2.5,2.5,0.15,HJ 1044,2.15,14,27
1219,428,220,400,65,1060.0,1290.0,125.0,1700.0,3000,37.0, NJ 244 ECML, M,220,284,343.7,268.0,4.0,4.0,2.3,238.0,263,288.0,383.0,3.0,-,0.23,HJ 244 EC,3.25,15,25
1220,429,220,400,65,1060.0,1290.0,125.0,1700.0,3000,37.0, NU 244 ECML, M,220,-,343.7,268.0,4.0,4.0,2.3,238.0,263,272.0,383.0,3.0,3,0.23,HJ 244 EC,3.25,15,25
1221,430,220,400,65,1060.0,1290.0,125.0,1700.0,3000,37.5,NUP 244 ECML, M,220,284,343.7,268.0,4.0,4.0,-,238.0,-,288.0,383.0,3.0,-,0.23,-,-,-,-
1222,431,220,400,108,1570.0,2280.0,212.0,1600.0,3000,58.0, NU 2244 ECML, -,220,-,350,259.0,4.0,4.0,7.9,237.0,254,263.0,383.0,3.0,3,0.3,-,-,-,-
1223,432,220,400,108,1570.0,2280.0,212.0,1600.0,3000,60.0,NJ 2244 ECML, -,220,278,350,259.0,4.0,4.0,7.9,237.0,254,282.0,383.0,3.0,-,0.3,-,-,-,-
1224,433,220,460,88,1210.0,1630.0,150.0,1500.0,1700,73.5,NJ 344 M, -,220,307,371,284.0,5.0,5.0,5.2,240.0,277,311.0,440.0,4.0,-,0.15,-,-,-,-
1225,434,220,460,88,1210.0,1630.0,150.0,1500.0,1700,75.0, NU 344 M, -,220,-,371,284.0,5.0,5.0,5.2,240.0,277,288.0,440.0,4.0,4,0.15,-,-,-,-
