ID,d,D,B,C,C0,Pu,Referenzdrehzahl,Grenzdrehzahl,Gewicht_kg,Kurzzeichen_Lager_offen_oder_beidseitig_abgedichtet,Kurzzeichen_einseitig_abgedichtet,d.1,d1,d2,D1,D2,r12_min,da_min,da_max,Da_max,ra_max,kr,f0
54,8,19,6.0,2.34,0.95,0.04,85000,43000,0.0072,607/8-2Z,607/8-Z,8,11.1,-,-,16.5,0.3,10.0,11,17.0,0.3,0.025,,
55,8,22,7.0,3.45,1.37,0.057,75000,48000,0.012,608,-,8,12.1,-,-,19.2,0.3,10.0,-,20.0,0.3,0.025,,
56,8,22,7.0,3.45,1.37,0.057,-,22000,0.012,608-2RSH,608-RSH,8,-,10.5,-,19.2,0.3,10.0,10.5,20.0,0.3,0.025,,
57,8,22,7.0,3.45,1.37,0.057,75000,38000,0.012,608-2RSL,608-RSL,8,-,10.5,-,19.2,0.3,10.0,10.5,20.0,0.3,0.025,,
58,8,22,7.0,3.45,1.37,0.057,75000,38000,0.013,608-2Z,608-Z,8,12.1,-,-,19.2,0.3,10.0,12,20.0,0.3,0.025,,
59,8,22,11.0,3.45,1.37,0.057,-,22000,0.016,630/8-2RS1,-,8,11.8,-,-,19,0.3,10.0,11.7,20.0,0.3,0.025,,
60,8,24,8.0,3.9,1.66,0.071,63000,40000,0.018,628,-,8,14.4,-,-,21.2,0.3,10.4,-,21.6,0.3,0.025,,
61,8,24,8.0,3.9,1.66,0.071,-,19000,0.017,628-2RS1,628-RS1,8,14.4,-,-,21.2,0.3,10.4,14.4,21.6,0.3,0.025,,
62,8,24,8.0,3.9,1.66,0.071,63000,32000,0.017,628-2RZ,628-RZ,8,14.4,-,-,21.2,0.3,10.4,14.4,21.6,0.3,0.025,,
63,8,24,8.0,3.9,1.66,0.071,63000,32000,0.018,628-2Z,628-Z,8,14.4,-,-,21.2,0.3,10.4,14.4,21.6,0.3,0.025,,
64,8,28,9.0,1.33,0.57,0.024,60000,30000,0.03,638-2RZ,638-RZ,8,14.8,-,-,22.6,0.3,10.4,14.7,25.6,0.3,0.03,,
65,9,17,4.0,0.871,0.34,0.014,85000,53000,0.0034,618/9,-,9,11.5,-,14.5,-,0.2,10.4,-,15.6,0.2,0.015,,
66,9,17,5.0,1.43,0.64,0.027,-,24000,0.0043,628/9-2RS1,-,9,-,10.7,-,15.2,0.2,10.4,10.5,15.6,0.2,0.015,,
67,9,17,5.0,1.43,0.64,0.027,85000,43000,0.0043,628/9-2Z,628/9-Z,9,-,10.7,-,15.2,0.2,10.4,10.5,15.6,0.2,0.015,,
68,9,20,6.0,2.34,0.98,0.043,80000,40000,0.0076,619/9-2Z,-,9,11.6,-,-,17.5,0.3,11.0,11.5,18.0,0.3,0.02,,
69,9,20,6.0,2.34,0.98,0.043,80000,50000,0.0076,619/9,-,9,11.6,-,-,17.5,0.3,11.0,-,18.0,0.3,0.02,,
70,9,24,7.0,3.9,1.66,0.071,70000,43000,0.014,609,-,9,14.4,-,-,21.2,0.3,11.0,-,22.0,0.3,0.025,,
71,9,24,7.0,3.9,1.66,0.071,-,19000,0.015,609-2RSH,609-RSH,9,-,12.8,-,21.2,0.3,11.0,12.5,22.0,0.3,0.025,13.0,
72,9,24,7.0,3.9,1.66,0.071,70000,34000,0.014,609-2RSL,609-RSL,9,-,12.8,-,21.2,0.3,11.0,12.5,22.0,0.3,0.025,13.0,
73,9,24,7.0,3.9,1.66,0.071,70000,34000,0.015,609-2Z,609-Z,9,14.4,-,-,21.2,0.3,11.0,14.3,22.0,0.3,0.025,13.0,
74,9,26,8.0,4.75,1.96,0.083,60000,38000,0.02,629,-,9,14.8,-,-,22.6,0.3,11.4,-,23.6,0.3,0.025,12.0,
75,9,26,8.0,4.75,1.96,0.083,-,19000,0.02,629-2RSH,629-RSH,9,-,12.5,-,22.6,0.3,11.4,12.5,23.6,0.3,0.025,12.0,
76,9,26,8.0,4.75,1.96,0.083,60000,30000,0.02,629-2RSL,629-RSL,9,-,12.5,-,22.6,0.3,11.4,12.5,23.6,0.3,0.025,12.0,
77,9,26,8.0,4.75,1.96,0.083,60000,30000,0.021,629-2Z,629-Z,9,14.8,-,-,22.6,0.3,11.4,14.7,23.6,0.3,0.025,12.0,
78,10,19,5.0,1.72,0.83,0.036,-,22000,0.0055,61800-2RS1,-,10,-,11.8,-,17.2,0.3,11.8,11.8,17.0,0.3,0.015,15.0,
79,10,19,5.0,1.72,0.83,0.036,80000,38000,0.0055,61800-2Z,-,10,12.7,-,-,17.2,0.3,12.0,12.5,17.0,0.3,0.015,15.0,
80,10,19,5.0,1.72,0.83,0.036,80000,48000,0.0053,61800,-,10,12.7,-,16.3,-,0.3,12.0,-,17.0,0.3,0.015,15.0,
81,10,22,6.0,2.7,1.27,0.054,-,20000,0.01,61900-2RS1,-,10,-,13.2,-,19.4,0.3,12.0,12,20.0,0.3,0.02,14.0,
82,10,22,6.0,2.7,1.27,0.054,70000,36000,0.01,61900-2Z,-,10,13.9,-,-,19.4,0.3,12.0,12.9,20.0,0.3,0.02,14.0,
83,10,22,6.0,2.7,1.27,0.054,70000,45000,0.01,61900,-,10,13.9,-,18.2,-,0.3,12.0,-,20.0,0.3,0.02,14.0,
84,10,26,8.0,4.75,1.96,0.083,67000,40000,0.019,6000,-,10,14.8,-,-,22.6,0.3,12.0,-,24.0,0.3,0.025,12.0,
85,10,26,8.0,4.75,1.96,0.083,-,19000,0.019,6000-2RSH,6000-RSH,10,-,12.5,-,22.6,0.3,12.0,12.5,24.0,0.3,0.025,12.0,
